period,amount,is_forecast
2013/9 実,17.0,False
2014/3 実,17.0,False
2014/9 実,18.0,False
2015/3 実,18.0,False
2015/9 実,19.0,False
2016/3 実,19.0,False
2016/9 実,20.0,False
2017/3 実,20.0,False
2017/9 実,22.0,False
2018/3 実,22.0,False
2018/9 実,24.0,False
2019/3 実,24.0,False
2019/9 実,26.0,False
2020/3 実,26.0,False
2020/9 実,28.0,False
2021/3 実,36.0,False
2021/9 実,34.0,False
2022/3 実,36.0,False
2022/9 実,38.0,False
2023/3 実,40.0,False
2023/9 実,43.0,False
2024/3 実,43.0,False
2024/9 実,47.0,False
2025/3 実,47.0,False
2025/9 実,51.0,False
2026/3 予,51.0,True
