period,amount,is_forecast
2013/9 実,15.0,False
2014/3 実,15.0,False
2014/9 実,25.0,False
2015/3 実,15.0,False
2015/9 実,20.0,False
2016/3 実,60.0,False
2016/9 実,30.0,False
2017/3 実,30.0,False
2017/9 実,15.0,False
2018/3 実,15.0,False
2018/9 実,17.5,False
2019/3 実,17.5,False
2019/9 実,17.5,False
2020/3 実,17.5,False
2020/9 実,5.0,False
2021/3 実,5.0,False
2021/9 実,15.0,False
2022/3 実,15.0,False
2022/9 実,15.0,False
2023/3 実,15.0,False
2023/9 実,15.0,False
2024/3 実,30.0,False
2024/9 実,40.0,False
2025/3 実,30.0,False
2025/9 実,40.0,False
2026/3 予,40.0,True
