period,amount,is_forecast
2013/8 実,16.5,False
2014/2 実,16.5,False
2014/8 実,16.5,False
2015/2 実,16.5,False
2015/8 実,16.5,False
2016/2 実,16.5,False
2016/8 実,16.5,False
2017/2 実,16.5,False
2017/8 実,16.5,False
2018/2 実,16.5,False
2018/8 実,16.5,False
2019/2 実,13.5,False
2019/8 実,13.5,False
2020/2 実,13.5,False
2020/8 実,13.5,False
2021/2 実,13.5,False
2021/8 実,13.5,False
2022/2 実,13.5,False
2022/8 実,13.5,False
2023/2 実,13.5,False
2023/8 実,13.5,False
2024/2 実,13.5,False
2024/8 実,13.5,False
2025/2 実,13.5,False
2025/8 実,13.5,False
2026/2 予,13.5,True
