period,amount,is_forecast
2015/1 実,0.0,False
2016/1 実,90.0,False
2016/7 実,10.0,False
2017/1 実,30.0,False
2017/7 実,5.0,False
2018/1 実,10.0,False
2018/7 実,5.0,False
2019/1 実,10.0,False
2019/7 実,6.0,False
2020/1 実,10.0,False
2020/7 実,6.0,False
2021/1 実,10.0,False
2021/7 実,6.0,False
2022/1 実,10.0,False
2022/7 実,10.0,False
2023/1 実,10.0,False
2023/7 実,10.0,False
2024/1 実,10.0,False
2024/7 実,10.0,False
2025/1 実,10.0,False
2025/7 実,15.0,False
2026/1 予,25.0,True
