period,amount,is_forecast
2013/8 実,5.0,False
2014/2 実,5.0,False
2014/8 実,5.0,False
2015/2 実,8.0,False
2015/8 実,9.0,False
2016/2 実,8.0,False
2016/8 実,9.0,False
2017/2 実,11.0,False
2017/8 実,9.0,False
2018/2 実,7.0,False
2018/8 実,5.0,False
2019/2 実,7.0,False
2019/8 実,5.0,False
2020/2 実,5.0,False
2021/2 実,0.0,False
2021/8 予,5.0,True
2022/2 実,5.0,False
2022/8 予,3.0,True
2023/2 実,0.0,False
2023/8 実,5.0,False
2024/2 実,5.0,False
2024/8 実,5.0,False
2025/2 実,7.0,False
2025/8 実,6.0,False
2026/2 予,7.0,True
